district,school,building,built,buildingType,hazard,asce,mitigationType,mitigation
Everett,Whittier Elementary,100 Building Main - Area 2,1954,W2,Low,Yes,Structural Retrofit,Yes
Everett,Whittier Elementary,100 Building Main - Area 3,1954,W2,Low,Yes,Structural Retrofit,Yes
Everett,Whittier Elementary,100 Building Main - Area 4,2011,W2,Low,,Replacement,
Everett,Whittier Elementary,200 Building Library - Area 1,1987,W2,Low,,,
Everett,Whittier Elementary,200 Building Library - Area 2,2011,W2,Low,,,
Everett,Whittier Elementary,300 Building West - Area 1,1987,W2,Low,,,
Everett,Whittier Elementary,Covered Play - Area 1,1987,RM1L,Moderate to High,,,
Everett,Woodside Elementary,A Building (southeast) - Area 1,1981,W2,Low,,,
Everett,Woodside Elementary,B Building (southwest) - Area 1,1981,W2,Low,,,
Everett,Woodside Elementary,C Building (northwest) - Area 1,1981,W1,Low,,,
Everett,Woodside Elementary,Covered Play - Area 1,1981,RM1L,Moderate to High,,,
Everett,Woodside Elementary,"D Building (gym, cafeteria) - Area 1",1981,W2,Low,,,
Everett,Woodside Elementary,"E Building (main, library) - Area 1",1981,W2,Low,,,
Everett,Woodside Elementary,F Building (chiller) - Area 1,2004,W2,Low,,,
Everett,Woodside Elementary,Portable 1 - Area 1,1990,W1,Low,,,
Everett,Woodside Elementary,Portable 10 - Main Area,2014,,Low,,,
Everett,Woodside Elementary,Portable 11 - Main Area,2014,,Low,,,
Everett,Woodside Elementary,Portable 2 - Area 1,2009,W1,Low,,,
Everett,Woodside Elementary,Portable 3 - Area 1,2010,W1,Low,,,
Everett,Woodside Elementary,Portable 4 - Area 1,2011,W1,Low,,,
Everett,Woodside Elementary,Portable 5 - Area 1,2012,W1,Low,,,
Everett,Woodside Elementary,Portable 6 - Area 1,2012,W1,Low,,,
Everett,Woodside Elementary,Portable 7 - Main Area,2010,,Low,,,
Everett,Woodside Elementary,Portable 8 - Main Area,2010,,Low,,,
Everett,Woodside Elementary,,,,,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 1 Blue - 1,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 2  Burgundy - 2,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 3 Gray - 3,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 4 Green - 4,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 5 Tan - 5,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 6 Teal - 6,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Admin 7 Gold - 7,2000,W1,Low,,,
Evergreen (Clark),Evergreen Flex Academy,Evergreen Flex Academy - EFA,2003,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Grounds keeping Shed - G-1,2000,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Main Building - 1,1988,W2,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Main Building - 2,1988,S1L,Moderate,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Portable 211/212 - Portable 211/212,1994,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Portable 213/214 - Portable 213/214,1994,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Portable 215/216 - Portable 215/216,1994,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Portable 217/218 - Portable 217/218,1994,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Portable 219/220 - Portable 219/220,1995,W1,Low,,,
Evergreen (Clark),Burnt Bridge Creek Elementary,Portable 221/222 - Portable 221/222,1997,W1,Low,,,
Evergreen (Clark),Burton Elementary,100 Main Building - 1,1970,W1,Low to Moderate,,,
Evergreen (Clark),Burton Elementary,200 Building - 2,1970,W1,Low to Moderate,,,
Evergreen (Clark),Burton Elementary,300 Gym Building - 3,1970,RM1L,High to Very High,,,
Evergreen (Clark),Burton Elementary,300 Gym Building - 4-Covered Play,1970,,Missing Data,,,
Evergreen (Clark),Burton Elementary,Covered Play 2 - Freestanding - 5,2002,S1L,Low,,,
Evergreen (Clark),Burton Elementary,Portable 01A/B - Portable 1A/1B,1980,W1,Low,,,
Evergreen (Clark),Burton Elementary,Portable 300A/B - Portable 300A/B,1980,W1,Low,,,
Evergreen (Clark),Burton Elementary,Portable 400A/B - Portable 400A/B,1991,W1,Low,,,
Evergreen (Clark),Burton Elementary,Portable 500A/B - Portable 500A/B,1993,W1,Low,,,
Evergreen (Clark),Burton Elementary,Portable 600A/B - Portable 600A/B,1995,,Missing Data,,,
Evergreen (Clark),Burton Elementary,Portable 700A/B - Portable 700A/B,1995,,Missing Data,,,
Evergreen (Clark),Burton Elementary,Portable 800A/B - Portable 800A/B,2010,,Low,,,
Evergreen (Clark),Burton Elementary,Storage Shed - 020,1970,W1,Low,,,
Evergreen (Clark),Cascade Middle,Athletic Shed - 3,2005,W1,Low,,,
Evergreen (Clark),Cascade Middle,Covered Play - 2,2005,S1L,Low,,,
Evergreen (Clark),Cascade Middle,Main Building - 1 - Basement,2005,RM1L,Low,,,
Evergreen (Clark),Cascade Middle,Main Building - 1 - First,2005,RM1L,Low,,,
Evergreen (Clark),Cascade Middle,Main Building - 1 - Second,2005,RM1L,Low,,,
Evergreen (Clark),Cascade Middle,Modular 8-plex #22-29 - Portable Quad #22-29,2007,W1,Low,,,
Evergreen (Clark),Cascade Middle,Portable 16/17 - Portable 16/17,1997,W1,Low,,,
Evergreen (Clark),Cascade Middle,Portable 18/19 - Portable 18/19,1996,W1,Low,,,
Evergreen (Clark),Clark County Skills Center,100 Building - Area 1,1983,RM1L,High,,,
Evergreen (Clark),Clark County Skills Center,100 Building - Area 2,2007,W2,Low,,,
Evergreen (Clark),Clark County Skills Center,200 Building - Area 1,1983,W2,Low to Moderate,,,
Evergreen (Clark),Clark County Skills Center,300 Building - Area 1,1983,W2,Low to Moderate,,,
Evergreen (Clark),Clark County Skills Center,400 Building - Area 1,2004,W2,Low,,,
Evergreen (Clark),Clark County Skills Center,500 Building - Cosmetology,2014,W2,Low,,,
Evergreen (Clark),Clark County Skills Center,600 Building - Aviation,2014,RM1L,Low,,,
Evergreen (Clark),Columbia Valley Elementary,Main Building - 1 - First,2004,S4L,Low,,,
Evergreen (Clark),Columbia Valley Elementary,Main Building - 1 - Second,2004,W2,Low,,,
Evergreen (Clark),Columbia Valley Elementary,Main Building - 2-Covered Play,2004,S1L,Low,,,
Evergreen (Clark),Covington Middle,Main Building - 1 - First,2006,RM1L,Low,,,
Evergreen (Clark),Covington Middle,Main Building - 1 - Second,2006,S2L,Low,,,
Evergreen (Clark),Covington Middle,Modular 8 complex - Quad 2,2007,W1,Low,,,
Evergreen (Clark),Covington Middle,Portable 1/2 - Portable 1/2,1995,W1,Low,,,
Evergreen (Clark),Covington Middle,Portable 3/4 - Portable 3/4,1998,W1,Low,,,
Evergreen (Clark),Covington Middle,Portable 5/6 - Portable 5/6,2010,W1,Low,,,
Evergreen (Clark),Covington Middle,Portable 7/8 - Portable 7/8,2010,W1,Low,,,
Evergreen (Clark),Covington Middle,Portable 9/10 - Portable 9/10,2014,W1,Low,,,
Evergreen (Clark),Covington Middle,Storage Building - 1 - Storage,2006,W1,Low,,,
Evergreen (Clark),Crestline Elementary,Covered Play - Freestanding - 4,2002,S1L,Low,,,
Evergreen (Clark),Crestline Elementary,Main Building - 1 - First,2014,W2,Low,,,
Evergreen (Clark),Crestline Elementary,Main Building - 1 - Second,2014,W2,Low,,,
Evergreen (Clark),Crestline Elementary,Main Building - 2 - Attached Play,2014,S1L,Low,,,
Evergreen (Clark),Crestline Elementary,Main Building - 3 - ECC Cov Play,2014,S4L,Low,,,
Evergreen (Clark),Ellsworth Elementary,Covered Play - Freestanding - 5,2002,S1L,Low,,,
Evergreen (Clark),Ellsworth Elementary,Main Building - 1,1958,W2,Low to Moderate,,,
Evergreen (Clark),Ellsworth Elementary,Main Building - 2,1959,W2,Low to Moderate,,,
Evergreen (Clark),Ellsworth Elementary,Main Building - 3,1962,W2,Low to Moderate,,,
Evergreen (Clark),Ellsworth Elementary,Main Building - 4,1994,W2,Low,,,
Evergreen (Clark),Ellsworth Elementary,Portable P01/02 - P1/2,1986,W1,Low,,,
Evergreen (Clark),Ellsworth Elementary,Portable P03 - Portable P3,1980,W1,Low,,,
Evergreen (Clark),Ellsworth Elementary,Portable P04/05 - Portable P4/5,1990,W1,Low,,,
Evergreen (Clark),Ellsworth Elementary,Portable P06/07 - Portable P6/7,1980,W1,Low,,,
Evergreen (Clark),Ellsworth Elementary,Portable P08/09 - Portable P8/9,1994,W1,Low,,,
Evergreen (Clark),Ellsworth Elementary,Portable P10/11 - Portable P10/11,1995,W1,Low,,,
Evergreen (Clark),Endeavour Elementary,Main Building - 1 - First,2008,S4L,Low,,,
Evergreen (Clark),Endeavour Elementary,Main Building - 1 - Second,2008,W2,Low,,,
Evergreen (Clark),Endeavour Elementary,Main Building - 2 - Attached Play,2008,S1L,Low,,,
Evergreen (Clark),Endeavour Elementary,Portable 301/302 - Portable 301/302,1995,W1,Low,,,
Evergreen (Clark),Endeavour Elementary,Portable 303/304 - Portable 303/304,2014,W1,Low,,,
Evergreen (Clark),Endeavour Elementary,Portable 305/306 - Portable 305/306,2014,W1,Low,,,
Evergreen (Clark),Endeavour Elementary,Portable 307/308 - Portable 307/308,2015,W1,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 1,1973,W2,Moderate,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Main Building - 11-12,2007,W2,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 13,2007,S2L,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 14,2007,W2,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 15,2007,RM1L,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 16,2007,W2,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 17,2007,PC2L,Low,,,
Evergreen (Clark),Evergreen High,Main Building - 2,1969,PC2L,High,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Main Building - 3-4,1969,RM1L,High to Very High,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Main Building - 5-6,1973,W2,Moderate,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Main Building - 7,1973,PC2L,High,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Main Building - 8,1973,W2,Moderate,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Main Building - 9-10,1973,W2,Moderate,,Structural Retrofit,Yes
Evergreen (Clark),Evergreen High,Portable 950/951 - Portable 950/951,1995,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 952/953 - Portable 952/953,1996,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 954/955 - Portable 954/955,1996,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 956/957 - Portable 956/957,1997,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 958/959 - Portable 958/959,1997,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 962/963 - Portable 962/963,1999,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 964/965 - Portable 264/265,1999,W1,Low,,,
Evergreen (Clark),Evergreen High,Portable 966/967 - Portable 966/967,1999,W1,Low,,,
Evergreen (Clark),Fircrest Elementary,Main Building - 1 - Main Building,1976,W2,Low to Moderate,,,
Evergreen (Clark),Fircrest Elementary,Main Building - 2 Attached Play,1976,S1L,Moderate to High,,,
Evergreen (Clark),Fircrest Elementary,Portable 135/136 - Portable 135/136,1990,W1,Low,,,
Evergreen (Clark),Fircrest Elementary,Portable 137/138 - Portable 137/138,1988,W1,Low,,,
Evergreen (Clark),Fircrest Elementary,Storage Shed - SS,1976,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Main Building - 1,1996,W2,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Main Building - 2,1996,S1L,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Portable 201/202 - Portable 201/202,2000,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Portable 203/204 - Porable 203/204,1997,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Portable 205/206 - Portable 205/206,1997,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Portable 207/208 - Portable 207/208,1997,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Portable 209/210 - Portable 209/210,1998,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Portable 211/212 - Portable 211/212,2010,W1,Low,,,
Evergreen (Clark),Fishers Landing Elementary,Storage Shed - SS,1996,W1,Low,,,
Evergreen (Clark),Frontier Middle,100 Building - 1,1995,W2,Low,,,
Evergreen (Clark),Frontier Middle,200 Building - 2,1995,RM1L,Moderate to High,,,
Evergreen (Clark),Frontier Middle,300 Building - 3,1995,W2,Low,,,
Evergreen (Clark),Frontier Middle,Athletic Storage Building - SS,2000,W1,Low,,,
Evergreen (Clark),Frontier Middle,Fitness Portable - Fitness Portable,1997,W1,Low,,,
Evergreen (Clark),Frontier Middle,Greenhouse - Greenhouse,2000,FLT,Moderate,,,
Evergreen (Clark),Frontier Middle,Portable 11/12 - Portble 11/12,1999,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 13/14 - Portable 13/14,1999,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 15/16 - Portable 15/16,2002,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 17/18 - Portable 17/18,2003,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 19/20 - Portable 19/20,2005,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 1A/1B - Portable 1A/1B,1996,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 3/4 - Portable 3/4,1997,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 5/6 - Portable 5/6,1998,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 7/8 - Portable 7/8,1998,W1,Low,,,
Evergreen (Clark),Frontier Middle,Portable 9/10 - Portable 9/10,1999,W1,Low,,,
Evergreen (Clark),Frontier Middle,Recycle Shed - RECYCLE,2000,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Main Building - 1,1991,W2,Low,,,
Evergreen (Clark),Harmony Elementary,Main Building - 2,1991,S1L,Moderate,,,
Evergreen (Clark),Harmony Elementary,Portable 28/29 - Portable 28/29,2005,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 30/31 - Portable 30/31,1990,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 32/33 - Portable 32/33,1991,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 34/35 - Portable 34/35,1992,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 36/37 - Portable 36/37,1991,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 38/39 - Portable 38/39,1996,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 40/41 - Portable 40/41,1996,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Portable 42/43 - Portable 42/43,2010,W1,Low,,,
Evergreen (Clark),Harmony Elementary,Storage Shed - Storage,1991,W1,Low,,,
Evergreen (Clark),Hearthwood Elementary,Main Building - 1,1996,W2,Low,,,
Evergreen (Clark),Hearthwood Elementary,Main Building - 2,1996,S1L,Low,,,
Evergreen (Clark),Hearthwood Elementary,Modular 901/902/903/904 - Modular 901thru904,2014,W1,Low,,,
Evergreen (Clark),Hearthwood Elementary,Portable 905/906 - Portable 905/906,1992,W1,Low,,,
Evergreen (Clark),Hearthwood Elementary,Portable 907/908 - Portable 907/908,1993,W1,Low,,,
Evergreen (Clark),Hearthwood Elementary,Storage Shed - SS,1996,W1,Low,,,
Evergreen (Clark),Henrietta Lacks Health and Bioscience Academy,Main Building - 1,2013,S1L,Low,,,
Evergreen (Clark),Heritage High,900 Portables - Main Area,1996,,Missing Data,,,
Evergreen (Clark),Heritage High,Field Storage - SS,2000,RM1L,Low,,,
Evergreen (Clark),Heritage High,Greenhouse - Greenhouse,2000,FLT,Moderate,,,
Evergreen (Clark),Heritage High,Main Building - 1 - First,1999,S1L,Low,,,
Evergreen (Clark),Heritage High,Main Building - 1 - Second,1999,S1L,Low,,,
Evergreen (Clark),Heritage High,Portable - Traffic Safety - Portable-Traffic Saf,1999,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 701/702 - Portable 701/702,2010,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 800 - Portable 800,2002,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 801/802 - Portable 801/802,2003,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 803/804 - Portable 803/804,2003,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 809/810 - Portable 809/810,1992,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 917/918 - Portable 917/918,2000,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 919/920 - Portable 919/920,2000,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 921/922 - Portable 921/922,2000,W1,Low,,,
Evergreen (Clark),Heritage High,Portable 923/924 - Portable 923/924,2000,W1,Low,,,
Evergreen (Clark),Heritage High,Portables 925/926 - Portables 925/926,2010,W1,Low,,,
Evergreen (Clark),Illahee Elementary,Main Building - 1,2001,W2,Low,,,
Evergreen (Clark),Illahee Elementary,Main Building - 2,2001,S1L,Low,,,
Evergreen (Clark),Illahee Elementary,Portable 201A/B - Portable 201A/B,2002,W1,Low,,,
Evergreen (Clark),Illahee Elementary,Portable 202A/B - Portable 202A/B,2002,W1,Low,,,
Evergreen (Clark),Illahee Elementary,Portable 203A/B - Portable 203A/B,2010,W1,Low,,,
Evergreen (Clark),Illahee Elementary,Storage Shed - SS,2001,W1,Low,,,
Evergreen (Clark),Image Elementary,Main - 1 - Main Building,1976,W2,Low,,,
Evergreen (Clark),Image Elementary,Main - 2 - Covered Play,1976,S1L,Moderate,,,
Evergreen (Clark),Image Elementary,Portable 201/202 - Portable 201/202,1994,,Missing Data,,,
Evergreen (Clark),Image Elementary,Portable 301/302 - Portable 301/302,1995,,Missing Data,,,
Evergreen (Clark),Image Elementary,Portable 401/402 - Portable 401/402,1995,W1,Low,,,
Evergreen (Clark),Image Elementary,Storage Shed - SS,2000,W1,Low,,,
Evergreen (Clark),Legacy High,200 Portable - 200 Portable,2000,W1,Low,,,
Evergreen (Clark),Legacy High,600 Portable - 600 Portable ,2000,W1,Low,,,
Evergreen (Clark),Legacy High,700 Portable - 700 Portable ,2000,W1,Low,,,
Evergreen (Clark),Legacy High,800 Portable - 800,2000,W1,Low,,,
Evergreen (Clark),Legacy High,Main Building - 1,1987,W2,Low,,,
Evergreen (Clark),Legacy High,Main Building - 2,2000,W2,Low,,,
Evergreen (Clark),Marrion Elementary,Admin/Multi-Purpose - 1,1958,W2,Low to Moderate,,,
Evergreen (Clark),Marrion Elementary,Classrooms and Library - 2,1967,W2,Low to Moderate,,,
Evergreen (Clark),Marrion Elementary,Classrooms and Library - 3,1969,,Missing Data,,,
Evergreen (Clark),Marrion Elementary,Covered Play - Freestanding - 4 - Covered Play,2002,S1L,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 1A/B - Portable 1A/B,1993,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 2A/B - Portable 2A/B,2000,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 3A/B - Portable 3A/B,1995,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 4A/B - Portable 4A/B,1994,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 5A/B - Portable 5A/B,1996,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 6A/B - Portable 6A/B,1998,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Portable 7A/B - Portable 7A/B,2014,W1,Low,,,
Evergreen (Clark),Marrion Elementary,Storage Shed - SS,2000,W1,Low,,,
Evergreen (Clark),Mill Plain Elementary,100 Bldg - 1- BLDG 100,1952,W2,Low to Moderate,,,
Evergreen (Clark),Mill Plain Elementary,100 Bldg - 2 - BLDG 100,1955,W2,Low to Moderate,,,
Evergreen (Clark),Mill Plain Elementary,200 Bldg - 200 Building,1955,,Missing Data,,,
Evergreen (Clark),Mill Plain Elementary,300 Classroom/Media Bldg - Bldg 300,1999,W2,Low,,,
Evergreen (Clark),Mill Plain Elementary,Gym Bldg - 6 - COVERED PLAY,1999,S1L,Low,,,
Evergreen (Clark),Mill Plain Elementary,Gym Bldg - GYM BUILDING,1955,RM1L,High,,,
Evergreen (Clark),Mill Plain Elementary,Portable 400/401 - Portable 400/401,1993,W1,Low,,,
Evergreen (Clark),Mill Plain Elementary,Portable 404/405 - Portable 404/405,1992,W1,Low,,,
Evergreen (Clark),Mill Plain Elementary,Portable 406/407 - Portable 406/407,1993,W1,Low,,,
Evergreen (Clark),Mountain View High,100 Building - 1,1981,RM1L,High,,,
Evergreen (Clark),Mountain View High,200 Building - 2,1981,W2,Low to Moderate,,,
Evergreen (Clark),Mountain View High,300 Building - 3,1981,W2,Low to Moderate,,,
Evergreen (Clark),Mountain View High,400 Building - 4,1981,W2,Low to Moderate,,,
Evergreen (Clark),Mountain View High,500 Building - 5,1981,W2,Low to Moderate,,,
Evergreen (Clark),Mountain View High,600 Building - 6,1981,RM1L,High,,,
Evergreen (Clark),Mountain View High,700 Building - 7,1981,RM1L,High,,,
Evergreen (Clark),Mountain View High,800 Building - 10,1999,,Missing Data,,,
Evergreen (Clark),Mountain View High,800 Building - 8,1981,RM1L,High,,,
Evergreen (Clark),Mountain View High,900 Building - 9,1999,RM1L,Low,,,
Evergreen (Clark),Mountain View High,Athletic Storage Shed - SS,1981,W1,Low to Moderate,,,
Evergreen (Clark),Mountain View High,Greenhouse - GRH,1981,FLT,Moderate to High,,,
Evergreen (Clark),Mountain View High,Portable 1A/1B - Portable 1,1990,W1,Low,,,
Evergreen (Clark),Mountain View High,Portable 2A/2B - Portable 2,2000,W1,Low,,,
Evergreen (Clark),Mountain View High,Portable 3A/3B - Portable 3,1990,W1,Low,,,
Evergreen (Clark),Mountain View High,Portable 4A/4B - Portable 4,1996,W1,Low,,,
Evergreen (Clark),Mountain View High,Portable 5A/5B - Portable 5,1995,W1,Low,,,
Evergreen (Clark),Mountain View High,Portable 9/10 - Portable Science,1999,W1,Low,,,
Evergreen (Clark),Orchards Elementary,Main Building - 1-Main Building,2006,S4L,Low,,,
Evergreen (Clark),Orchards Elementary,Main Building - 2- Covered Play,2006,S1L,Low,,,
Evergreen (Clark),Orchards Elementary,Modular 150/151/152/153 - Modular 151-154,2005,W1,Low,,,
Evergreen (Clark),Orchards Elementary,Portable 333/334 - Portable 333/334,1995,W1,Low,,,
Evergreen (Clark),Orchards Elementary,Portable 335/336 - Portable 335/336,1996,W1,Low,,,
Evergreen (Clark),Pacific Middle,100 Shop and Arts Building - 1,1983,W2,Low,,,
Evergreen (Clark),Pacific Middle,200 Music Building - 2,1983,RM1L,Moderate to High,,,
Evergreen (Clark),Pacific Middle,300 Main Building - 3,1983,W2,Low,,,
Evergreen (Clark),Pacific Middle,400 Gym Building - 4,1983,RM1L,Moderate to High,,,
Evergreen (Clark),Pacific Middle,Athletic Storage Shed - Storage,2000,W1,Low,,,
Evergreen (Clark),Pacific Middle,Covered Play - Covered play,2002,S1L,Low,,,
Evergreen (Clark),Pacific Middle,Fitness Portable - Fitness Portable,2000,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 01/2 - Portable 1/2,1988,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 03/4 - Portable 3/4,1990,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 05/6 - Portable 5/6,1990,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 07/8 - Portable 7/8,1992,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 09/10 - Portable 9/10,1991,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 11/12 - Portable 11/12,1990,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 13/14 - Portable 13/14,1993,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 15/16 - Portable 15/16,2008,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 17/18 - Portable 17/18,1993,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 19/20 - Portable 19/20,1999,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 21/22 - Portable 21/22,1999,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 23/24 - Portable 23/24,1999,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 25/26 - Portable 25/26,1999,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 27/28 - Portable 27/28,2000,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 29/30 - Portable 29/30,2000,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 31/32 - Portable 31/32,2003,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 33/34 - Portable 33/34,2000,W1,Low,,,
Evergreen (Clark),Pacific Middle,Portable 35/36 - Portable 35/36,2000,W1,Low,,,
Evergreen (Clark),Pioneer Elementary,Main Building - 1 - Instructional,1993,W2,Low,,,
Evergreen (Clark),Pioneer Elementary,Main Building - 2 - Covered Play,1993,W2,Low,,,
Evergreen (Clark),Pioneer Elementary,Portable 34/35 - Portable 34/35,1995,W1,Low,,,
Evergreen (Clark),Pioneer Elementary,Portable 36/37 - Portable 36/37,1995,W1,Low,,,
Evergreen (Clark),Pioneer Elementary,Portable 38/39 - Portable 38/39,1997,W1,Low,,,
Evergreen (Clark),Pioneer Elementary,Portable 40/41 - Portable 40/41,1998,W1,Low,,,
Evergreen (Clark),Pioneer Elementary,Portable 42/43 - Portable 42/43,1998,W1,Low,,,
Evergreen (Clark),Pioneer Elementary,Portable 44/45 - Portable 44/45,2015,W1,Low,,,
Evergreen (Clark),Riverview Elementary,Main Building - 1 - Main Building,1976,W2,Low,,,
Evergreen (Clark),Riverview Elementary,Main Building - 2 - Covered Play,1976,S1L,Moderate,,,
Evergreen (Clark),Riverview Elementary,Portable 201/202 - Portable 201/202,1990,W1,Low,,,
Evergreen (Clark),Riverview Elementary,Portable 203/204 - Portable 203/204,1991,W1,Low,,,
Evergreen (Clark),Riverview Elementary,Storage Shed - SS,1976,W1,Low,,,
Evergreen (Clark),Shahala Middle,Athletic Storage Building - ASB,2000,W1,Low,,,
Evergreen (Clark),Shahala Middle,Main Building - 1,2001,RM1L,Low,,,
Evergreen (Clark),Shahala Middle,Main Building - 2,2001,S1L,Low,,,
Evergreen (Clark),Shahala Middle,Portable 317/318 - Portable 317/318,2002,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 319/320 - Portable 319/320,1999,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 321/322 - Portable 321/322,1996,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 323/324 - Portable 323/324,1993,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 325/326 - Portable 325/326,1998,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 327/328 - Portable 327/328,2010,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 329 - Portable 329,2007,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 417/418 - Portable 417/418,2003,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 419/420 - Portable 419/420,2003,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 517 - Portable 517,1988,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 519/520 - Portble 519/520,2003,W1,Low,,,
Evergreen (Clark),Shahala Middle,Portable 521/522 - Portable 521/522,2003,W1,Low,,,
